Station or stop;Name;Coordinate Latitude;Coordinate Longitude;Number of train rides;Minutes of delay
80107318;NIDDERAU;50.231455;8.879988;23.307692307692307;7.158371040723982
80225342;WUERZBURG HBF;49.801663;9.93615;88.50234009360375;389.86895475819034
80140061;MANNHEIM-KAEFERTAL;49.50265;8.505018;51.62091503267974;127.92156862745098
80221630;ERLANGEN;49.595924;11.001729;22.84759916492693;36.74739039665971
80100313;DORTMUND-OBEREVING;51.543425;7.47983;18.747272727272726;89.89636363636363
80217208;MUENSTER LECHTENBERG;51.91773;7.63857;22.227450980392156;10.011764705882353
80112060;RUESSELSHEIM;49.992206;8.414032;15.97278911564626;3.5170068027210886
80201814;BRANNENBURG;47.741947;12.107689;20.2475884244373;11.665594855305466
80195875;STEINEFRENZ;50.448628;7.93957;10.0;3.23
80051821;IMMENHAUSEN;51.4273;9.464402;27.200803212851405;4.261044176706827
80031286;GLASOWER DAMM;52.3495;13.41717;28.15029761904762;13.8125
80082560;KREUZTAL;50.955522;7.993773;34.82716049382716;129.86831275720164
80226753;OCHSENFURT;49.663565;10.071647;64.8;89.321875
80132530;PEINE;52.318816;10.243375;81.1828125;75.86875
80190843;GOEPPINGEN;48.700689;9.652707;36.55555555555556;49.75347222222222
80227181;ROSSTAL WEGBRUECKE;49.394974;10.885481;27.67037037037037;0.0
80234815;WURZEN;51.36576;12.74034;26.623417721518987;15.167721518987342
80055244;KASSEL NORDWEST;51.340892;9.472112;21.385300668151448;16.407572383073497
80102848;HALDERN (RHEINL);51.772391;6.456059;32.03125;13.472222222222221
80194043;NEUSTADT(WEINSTR)HBF;49.350678;8.14358;32.71982116244411;29.853949329359164
80155754;FRIEDRICH WILHELMSHUETTE;50.802093;7.159412;83.01294498381877;21.022653721682847
80808543;BUECHEN STEINAUTAL;53.49016;10.590777;23.691029900332225;1.850498338870432
80115428;ELZ (KR LIMBURG/LAHN) SUED;50.40958;8.033037;10.0;1.2105263157894737
80011338;HAMBURG HOHE SCHAAR;53.494763;9.974986;16.48641975308642;0.12345679012345678
80112342;NAUHEIM (B GROSS-GERAU);49.943557;8.450883;82.69158878504673;15.221183800623052
80117200;BEBRA LAEMMERBERG ABZW;50.9532;9.798365;35.30503144654088;11.216981132075471
80190272;RHENS;50.281478;7.62047;33.026666666666664;3.973333333333333
80281212;NEUSTRELITZ HBF;53.359767;13.0749;14.184313725490195;9.686274509803921
80139428;ESCHERDE;52.170696;9.844362;23.967741935483872;5.797235023041475
80222141;NUERNBERG-LANGWASSER;49.410745;11.138542;78.015625;232.1875
80144139;MUELLHEIM(BADEN);47.811158;7.60036;46.640625;38.36875
80138297;SCHIERBROK;53.086108;8.57977;27.569811320754717;0.0
80096008;HAGEN-VORHALLE;51.379985;7.433679;33.95390070921986;43.86879432624114
80225490;GEMUENDEN (MAIN);50.053077;9.694939;72.9513343799058;103.69544740973312
80060087;KOENIGSTEIN (SAECHS SCHWEIZ) HP;50.919375;14.078045;22.810289389067524;2.6559485530546625
80117119;FRANKFURT MAINZER LANDSTRASSE;50.100408;8.628196;15.198237885462555;3.8105726872246697
80202317;MUENCHEN-FREIMANN;48.190214;11.6121;37.57704918032787;82.84918032786885
80011866;HAMBURG-NEUGRABEN;53.474252;9.85319;13.679245283018869;13.05188679245283
80340380;NEUNKIRCHEN (SAAR) BAUKNECHT;49.347538;7.229719;14.96707818930041;0.6748971193415638
80234757;GERICHSHAIN;51.35502;12.587001;26.734177215189874;0.6392405063291139
80149195;BIEDERITZ;52.154131;11.717879;47.4392523364486;62.165109034267914
80150441;KREFELD-OPPUM;51.330801;6.611466;16.641592920353983;1.6814159292035398
80224980;HAGENBUECHACH;49.5382;10.7687;47.22112211221122;9.26072607260726
80200519;DORFEN BAHNHOF;48.26797;12.161117;17.541484716157207;37.842794759825324
80221580;ANSBACH STADT;49.253217;10.625018;25.140522875816995;4.133986928104576
80203703;PAPPENHEIM;48.926907;10.964596;41.16352201257862;0.0
80062448;NIEDERWARTHA;51.094593;13.605973;30.20327868852459;1.960655737704918
80290296;STUTTGART EBITZWEG;48.803847;9.231756;61.39739413680782;0.013029315960912053
80056374;FULDA;50.556113;9.684211;100.77190441708906;58.73280231716148
80102665;OBERHAUSEN-STERKRADE;51.511829;6.844188;39.07876712328767;57.16438356164384
80066993;WERDAU NORD;50.743624;12.371666;21.236;1.6
80062422;COSSEBAUDE;51.085241;13.632436;30.34640522875817;47.627450980392155
80211953;RINGEL;52.137622;7.87803;32.512280701754385;7.7368421052631575
80290163;ASPERG;48.9076;9.147548;73.91509433962264;23.635220125786162
80138370;ELSFLETH;53.236095;8.464568;18.39075630252101;12.319327731092438
80100222;OBERHAUSEN-OSTERFD S;51.49986;6.88512;51.18193384223918;162.74236641221373
80040279;COTTBUS-WILLMERSDORF NORD;51.816159;14.384951;15.683636363636364;0.0
80081364;SCHWELM;51.29188;7.29049;22.346303501945524;36.83657587548638
80111815;RUECKERSBACHER SCHLUCHT;50.020222;9.057186;28.43205574912892;0.0
80264176;PLATTLING;48.780798;12.865399;52.85579937304075;190.05329153605015
80143081;WINDSCHLAEG;48.51612;7.965941;39.27814569536424;20.294701986754966
80241133;PROEDEL;52.038135;11.913346;28.166666666666668;3.981132075471698
80223719;NUERNBERG-EIBACH;49.4112;11.04945;35.451298701298704;51.11363636363637
80113456;HERGERSHAUSEN;49.93737;8.915615;43.73010380622837;0.04498269896193772
80190041;ROLANDSECK;50.631462;7.20769;37.13694267515923;4.681528662420382
80109041;FRANKFURT AM MAIN STADION;50.06815;8.633342;31.523411371237458;28.369565217391305
80054049;KOERLE;51.171553;9.515074;31.899053627760253;2.359621451104101
