Station or stop,Name,Coordinate Latitude,Coordinate Longitude,Number of trains,Minutes of delay,geometry,route_ids
80255083,DILLINGEN (SAAR) KATZENSCHWAENZ,49.369416,6.709944,23.563574,83.725086,POINT (6.70994 49.36942),3230.0
80373423,NEIDENFELS HP,49.387056,8.045642,32.980952,0.0,POINT (8.04564 49.38706),3280.0
80240796,ZIELITZ,52.299929,11.682358,23.313544,45.185529,POINT (11.68236 52.29993),6402.0
80334839,MUENSTER-HILTRUP,51.905186,7.654606,22.572549,1.380392,POINT (7.65461 51.90519),2931.0
80110023,LORCHHAUSEN,50.054542,7.78138,65.513699,8.537671,POINT (7.78138 50.05454),3507.0
80237321,HERFORD,52.119646,8.664016,39.351613,14.954839,POINT (8.66402 52.11965),2990.0
80226696,WUERZBURG-HEIDINGSFELD WEST,49.762984,9.942833,53.648915,34.238659,POINT (9.94283 49.76298),5321.0
80150870,HALLE (SAALE) HBF,51.474414,11.98577,28.119497,22.386792,POINT (11.98577 51.47441),6403.0
80228817,HOHE MARTER,49.424395,11.041582,88.018692,76.246106,POINT (11.04158 49.42439),5951.0
80210385,BOHMTE,52.361682,8.307821,35.113333,20.48,POINT (8.30782 52.36168),2200.0
80237230,DESSAU HBF,51.842215,12.23658,30.409018,39.347826,POINT (12.23658 51.84222),6856.0
80190355,BACHARACH,50.05747,7.7695,32.98,8.613333,POINT (7.76950 50.05747),3507.0
80253930,SAARBRUECKEN RBF,49.25465,7.002573,22.890395,216.437288,POINT (7.00257 49.25465),3511.0
80011916,DOLLERN,53.545504,9.557985,13.385714,0.0,POINT (9.55799 53.54550),1720.0
80032011,STADTFORST,52.4641,13.5701,17.215827,25.5,POINT (13.57010 52.46410),6153.0
80253583,WILTINGEN (SAAR),49.662792,6.5911,20.425455,5.472727,POINT (6.59110 49.66279),3230.0
80034462,LUCKENWALDE,52.09216,13.161655,13.190476,10.615873,POINT (13.16165 52.09216),6132.0
80017087,JESTEBURG,53.3135,9.979605,53.53605,99.868339,POINT (9.97960 53.31350),1280.0
80202366,MUENCHEN OST RBF,48.134919,11.630016,18.980545,668.326848,POINT (11.63002 48.13492),5555.0
80296376,BAD FRIEDRICHSHALL-JAGSTFELD,49.232203,9.20105,48.914062,361.96875,POINT (9.20105 49.23220),4900.0
80392522,DIEDELSHEIM,49.039224,8.67461,33.452229,0.0,POINT (8.67461 49.03922),4130.0
80012393,ROTENBURG(WUEMME),53.11368,9.39111,55.410658,59.617555,POINT (9.39111 53.11368),2200.0
80072157,JUEBEK,54.56034,9.404086,21.520147,17.728938,POINT (9.40409 54.56034),1040.0
80053884,MARBURG SUED,50.794604,8.762533,26.2607,3.081712,POINT (8.76253 50.79460),3900.0
80014308,FLENSBURG GRENZE,54.813177,9.36307,20.473881,0.0,POINT (9.36307 54.81318),1000.0
80100057,HAMM (WESTF) RBF O/W,51.667323,7.807048,27.703234,66.520105,POINT (7.80705 51.66732),2990.0
80146365,NIEDERLAHNSTEIN,50.316374,7.599383,69.998333,14.763333,POINT (7.59938 50.31637),3710.0
80144030,FREIBURG SUED,47.986899,7.80714,38.90566,22.650943,POINT (7.80714 47.98690),4312.0
80031658,BRIESEN(MARK),52.346693,14.280727,16.890909,9.84,POINT (14.28073 52.34669),6153.0
80066951,PONITZ,50.858042,12.417503,20.845528,0.857724,POINT (12.41750 50.85804),6362.0
80201103,FREILASSING,47.838206,12.97876,31.400662,596.31457,POINT (12.97876 47.83821),5740.0
80206052,MUENCHEN LANDSBERGER STRASSE,48.143954,11.50375,11.631148,2.491803,POINT (11.50375 48.14395),5540.0
80240291,WELLEN (B MAGDEBURG),52.135856,11.4348,48.278997,3.76489,POINT (11.43480 52.13586),6110.0
80062778,ROEDERAU BOGENDREIECK,51.3249,13.3171,32.722397,22.577287,POINT (13.31710 51.32490),6363.0
80101576,ESSEN ZOLLVEREIN NORD,51.494,7.047412,22.78777,4.223022,POINT (7.04741 51.49400),2650.0
80270561,SUBZIN-LIESSOW,53.87824,12.352157,15.237548,0.0,POINT (12.35216 53.87824),6325.0
80234716,ENGELSDORF (LEIPZIG),51.343383,12.467167,57.775424,429.577331,POINT (12.46717 51.34338),6369.0
80139279,WALDHEIM,52.3497,9.78379,125.022082,126.990536,POINT (9.78379 52.34970),1753.0
80227280,ANSBACH,49.29906,10.57935,78.934579,198.009346,POINT (10.57935 49.29906),5902.0
80193235,ROTTWEIL,48.16573,8.639558,12.742574,12.153465,POINT (8.63956 48.16573),4650.0
80227207,RAITERSAICH,49.375311,10.84449,27.951852,0.359259,POINT (10.84449 49.37531),5902.0
80241281,SCHOENEBECK (ELBE) GBF,52.026006,11.722245,34.477663,67.972509,POINT (11.72224 52.02601),6406.0
80141085,KLEINSTEINBACH,48.966593,8.554993,14.645833,0.0,POINT (8.55499 48.96659),4200.0
80100917,WITTEN HBF,51.43643,7.329374,38.0,29.202749,POINT (7.32937 51.43643),2801.0
80138313,HUDE,53.1117,8.45892,31.5,80.33209,POINT (8.45892 53.11170),1503.0
80115816,HAIGER,50.74273,8.221458,23.427928,4.738739,POINT (8.22146 50.74273),2800.0
80198267,GOTHA,50.940079,10.712684,27.061837,3.353357,POINT (10.71268 50.94008),6697.0
80201954,GROSSKAROLINENFELD,47.88967,12.084894,38.44586,0.0,POINT (12.08489 47.88967),5510.0
80081174,DUESSELDORF-BENRATH,51.162336,6.878907,13.62963,1.925926,POINT (6.87891 51.16234),2670.0
80229070,ESPENLOH,49.8633,9.818117,25.312775,3.885463,POINT (9.81812 49.86330),1733.0
80212795,LOEWENBERG (MARK),52.896801,13.190055,12.947826,3.752174,POINT (13.19005 52.89680),6752.0
80131128,DIEKHOLZEN,52.093785,9.886743,25.196347,4.347032,POINT (9.88674 52.09378),1733.0
80194027,HASSLOCH (PFALZ),49.372016,8.253437,34.808917,28.359873,POINT (8.25344 49.37202),3280.0
